TOKEN	NE-COARSE-LIT	NE-COARSE-METO
Folge	O	O
;	O	O
aber	O	O
am	O	O
Tage	O	O
des	O	O
Mordes	O	O
selbst	O	O
kam	O	O
er	O	O
zur	O	O
# segment_iiif_link = _
versprochenen	O	O
Stunde	O	O
gar	O	O
nicht	O	O
,	O	O
und	O	O
überließ	O	O
den	O	O
# segment_iiif_link = _
Gesandten	O	O
seinem	O	O
Schicksal	O	O
,	O	O
obwohl	O	O
seine	O	O
Gegen	O	O
¬	O	O
# segment_iiif_link = _
wart	O	O
gewiß	O	O
das	O	O
fernere	O	O
Blutbad	O	O
,	O	O
in	O	O
welchem	O	O
mehr	O	O
# segment_iiif_link = _
als	O	O
20	O	O
Personen	O	O
das	O	O
Leben	O	O
verloren	O	O
,	O	O
verhütet	O	O
hät	O	O
¬	O	O
# segment_iiif_link = _
te	O	O
.	O	O
—	O	O
Das	O	O
Directorium	O	O
beschloß	O	O
diesen	O	O
Nachrichten	O	O
# segment_iiif_link = _
zufolge	O	O
,	O	O
welche	O	O
es	O	O
einleuchtend	O	O
machten	O	O
,	O	O
man	O	O
habe	O	O
# segment_iiif_link = _
in	O	O
Rom	B-loc	O
die	O	O
Ermordung	O	O
Basseville	B-loc	O
'	O	O
s	O	O
erneuern	O	O
wol	O	O
¬	O	O
# segment_iiif_link = _
len	O	O
,	O	O
indem	O	O
man	O	O
den	O	O
Gen	B-pers	O
.	I-pers	O
Duphot	I-pers	O
umbrachte	O	O
:	O	O
der	O	O

# language = de
# newspaper = NZZ
# date = 1808-04-29
# document_id = NZZ-1808-04-29-a-p0002
# segment_iiif_link = _
henden	O	O
und	O	O
glücklichen	O	O
Zustande	O	O
gelebt	O	O
habe	O	O
,	O	O
und	O	O
daß	O	O
kein	O	O
# segment_iiif_link = _
Beweggrund	O	O
ihn	O	O
jemals	O	O
dahin	O	O
bringen	O	O
könne	O	O
,	O	O
von	O	O
diesem	O	O
# segment_iiif_link = _
Vorsatze	O	O
abzustehen	O	O
.	O	O
Se	O	O
.	O	O
Kaiserl	O	O
.	O	O
Majestät	O	O
fügten	O	O
hinzu	O	O
,	O	O
# segment_iiif_link = _
daß	O	O
ich	O	O
den	O	O
festen	O	O
Karakter	O	O
des	O	O
Kronprinzen	O	O
hinlänglich	O	O
ken	O	O
¬	O	O
# segment_iiif_link = _
nen	O	O
müße	O	O
,	O	O
um	O	O
zu	O	O
wissen	O	O
,	O	O
daß	O	O
nichts	O	O
schwerer	O	O
sey	O	O
,	O	O
als	O	O
seine	O	O
# segment_iiif_link = _
Entschlüsse	O	O
zu	O	O
erschüttern	O	O
,	O	O
oder	O	O
ihn	O	O
zu	O	O
bewegen	O	O
,	O	O
ein	O	O
ein	O	O
¬	O	O
# segment_iiif_link = _
mal	O	O
angenommenes	O	O
System	O	O
zu	O	O
verlassen	O	O
,	O	O
und	O	O
daß	O	O
er	O	O
,	O	O
der	O	O
# segment_iiif_link = _
Kaiser	O	O
,	O	O
überzeugt	O	O
sey	O	O
,	O	O
es	O	O
habe	O	O
vor	O	O
unserm	O	O
Angriff	O	O
auf	O	O
Ro	B-loc	O
¬	I-loc	O
# segment_iiif_link = _
(	O	O
Aus	O	O
dem	O	O
danischen	O	O
Blatte	O	O
Dagen	O	O
.	O	O
)	O	O
Da	O	O
das	O	O
engli	O	O
¬	O	O
# segment_iiif_link = _
sche	O	O
Ministerium	O	O
die	O	O
englische	O	O
Nation	O	O
versichert	O	O
hat	O	O
,	O	O
daß	O	O
# segment_iiif_link = _
den	O	O
Kaiser	O	O
von	O	O
Rußland	B-loc	O
Anfangs	O	O
nicht	O	O
das	O	O
geringste	O	O
Miß	O	O
¬	O	O
# segment_iiif_link = _
vergnügen	O	O
über	O	O
den	O	O
Raubzug	O	O
nach	O	O
Seeland	B-loc	O
geäussert	O	O
habe	O	O
,	O	O
# segment_iiif_link = _
so	O	O
wird	O	O
man	O	O
nicht	O	O
ohne	O	O
Interesse	O	O
nachstehende	O	O
Erläuterun	O	O
¬	O	O
# segment_iiif_link = _
gen	O	O
über	O	O
eine	O	O
,	O	O
zwischen	O	O
dem	O	O
Kaiser	O	O
von	O	O
Rußland	B-loc	O
und	O	O
dem	O	O
# segment_iiif_link = _
General	B-pers	O
Hutchinson	I-pers	O
vorgefallene	O	O
,	O	O
Unterredung	O	O
lesen	O	O
.	O	O
Se	O	O
.	O	O
# segment_iiif_link = _
Kaiserl	O	O
.	O	O
Majestät	O	O
—	O	O
so	O	O
berichtet	O	O
der	O	O
General	B-pers	O
Hutchinson	I-pers	O
# segment_iiif_link = _
—	O	O
flengen	O	O
die	O	O
Unterredung	O	O
mit	O	O
der	O	O
Frage	O	O
an	O	O
,	O	O
was	O	O
ich	O	O
von	O	O
# segment_iiif_link = _
unserm	O	O
Angriff	O	O
auf	O	O
Kopenhagen	B-loc	O
denke	O	O
?	O	O
Ich	O	O
erwiederte	O	O
,	O	O
# segment_iiif_link = _
daß	O	O
mir	O	O
die	O	O
Umstände	O	O
,	O	O
welche	O	O
solchen	O	O
veranlaßt	O	O
hätten	O	O
,	O	O
zwar	O	O
# segment_iiif_link = _
ganz	O	O
unbekannt	O	O
wären	O	O
,	O	O
daß	O	O
ich	O	O
aber	O	O
hoffe	O	O
,	O	O
die	O	O
englische	O	O
# segment_iiif_link = _
Administration	O	O
werde	O	O
sich	O	O
rechtfertigen	O	O
,	O	O
und	O	O
der	O	O
ganzen	O	O
Welt	O	O
# segment_iiif_link = _
beweisen	O	O
können	O	O
,	O	O
daß	O	O
die	O	O
Dänen	O	O
im	O	O
Begriff	O	O
waren	O	O
,	O	O
ihre	O	O
# segment_iiif_link = _
ganze	O	O
Macht	O	O
mit	O	O
der	O	O
französischen	O	O
gegen	O	O
England	B-loc	O
zu	O	O
# segment_iiif_link = _
vereinigen	O	O
.	O	O
Se	O	O
.	O	O
Kaiserl	O	O
.	O	O
Majestät	O	O
bemerkten	O	O
,	O	O
daß	O	O
ich	O	O
un	O	O
¬	O	O
# segment_iiif_link = _
möglich	O	O
dieser	O	O
Meynung	O	O
seyn	O	O
könne	O	O
,	O	O
wenn	O	O
ich	O	O
noch	O	O
der	O	O
Un	O	O
¬	O	O
# segment_iiif_link = _
terredungen	O	O
gedächte	O	O
,	O	O
die	O	O
wir	O	O
in	O	O
Bartenstein	B-loc	O
gehabt	O	O
hät	O	O
¬	O	O
# segment_iiif_link = _
ten	O	O
.	O	O
In	O	O
diesen	O	O
sagte	O	O
der	O	O
Kaiser	O	O
mir	O	O
,	O	O
er	O	O
habe	O	O
alle	O	O
mögliche	O	O
# segment_iiif_link = _
Mühe	O	O
angewandt	O	O
,	O	O
um	O	O
den	O	O
Kronprinzen	O	O
von	O	O
Dänemark	B-loc	O
zu	O	O
!	O	O
# segment_iiif_link = _
vermögen	O	O
,	O	O
der	O	O
Koalition	O	O
gegen	O	O
Frankreich	B-loc	O
beyzutreten	O	O
;	O	O
# segment_iiif_link = _
daß	O	O
aber	O	O
die	O	O
Antwort	O	O
des	O	O
Prinzen	O	O
immer	O	O
deutlich	O	O
und	O	O
un	O	O
¬	O	O
# segment_iiif_link = _
verändert	O	O
dieselbe	O	O
gewesen	O	O
sey	O	O
,	O	O
daß	O	O
er	O	O
viele	O	O
Jahre	O	O
lang	O	O
ein	O	O
# segment_iiif_link = _
Neutralitätssystem	O	O
behauptet	O	O
habe	O	O
,	O	O
bey	O	O
dem	O	O
er	O	O
zu	O	O
beharren	O	O
# segment_iiif_link = _
fest	O	O
entschlossen	O	O
sey	O	O
;	O	O
da	O	O
sein	O	O
Volk	O	O
dadurch	O	O
in	O	O
einem	O	O
blü	O	O
¬	O	O
# segment_iiif_link = _
und	O	O
dänischen	O	O
Regierung	O	O
statt	O	O
gefunden	O	O
.	O	O
Ich	O	O
sagte	O	O
dar	O	O
¬	O	O
# segment_iiif_link = _
auf	O	O
,	O	O
ich	O	O
glaubte	O	O
,	O	O
daß	O	O
der	O	O
Lord	B-pers	O
Gower	I-pers	O
dem	O	O
Kaiserl	O	O
Mi	O	O
¬	O	O
# segment_iiif_link = _
nisterium	O	O
über	O	O
diesen	O	O
Gegenstand	O	O
eine	O	O
Note	O	O
übergeben	O	O
habe	O	O
,	O	O
# segment_iiif_link = _
worauf	O	O
Se	O	O
.	O	O
Majestät	O	O
erwiederten	O	O
,	O	O
daß	O	O
dies	O	O
sich	O	O
so	O	O
verhalte	O	O
,	O	O
# segment_iiif_link = _
daß	O	O
aber	O	O
der	O	O
Inhalt	O	O
der	O	O
Note	O	O
lächerlich	O	O
sey	O	O
,	O	O
da	O	O
solche	O	O
we	O	O
¬	O	O
# segment_iiif_link = _
der	O	O
hinlängliche	O	O
Auskunft	O	O
enthalte	O	O
,	O	O
noch	O	O
irgend	O	O
eine	O	O
Genug	O	O
¬	O	O
# segment_iiif_link = _
thuung	O	O
anbiete	O	O
.	O	O
Se	O	O
.	O	O
Kaiserl	O	O
.	O	O
Majestät	O	O
sprachen	O	O
darnächst	O	O
# segment_iiif_link = _
von	O	O
der	O	O
großen	O	O
Betrübniß	O	O
,	O	O
die	O	O
Ihnen	O	O
durch	O	O
unsern	O	O
unver	O	O
¬	O	O
# segment_iiif_link = _
antwortlichen	O	O
Angriff	O	O
verursacht	O	O
worden	O	O
,	O	O
und	O	O
daß	O	O
nie	O	O
et	O	O
¬	O	O
# segment_iiif_link = _
was	O	O
Aehnliches	O	O
geschehen	O	O
sey	O	O
;	O	O
daß	O	O
,	O	O
wenn	O	O
ein	O	O
solches	O	O
Ver	O	O
¬	O	O
# segment_iiif_link = _
fahren	O	O
gelten	O	O
sollte	O	O
,	O	O
alle	O	O
Verhältnisse	O	O
,	O	O
die	O	O
das	O	O
Verfahren	O	O
# segment_iiif_link = _
der	O	O
Nationen	O	O
gegen	O	O
einander	O	O
bisher	O	O
bestimmt	O	O
hätten	O	O
,	O	O
zu	O	O
# segment_iiif_link = _
Grunde	O	O
gehen	O	O
würden	O	O
,	O	O
und	O	O
daß	O	O
in	O	O
dem	O	O
Falle	O	O
ein	O	O
jeder	O	O
thun	O	O
# segment_iiif_link = _
könnte	O	O
,	O	O
was	O	O
ihm	O	O
beliebe	O	O
.	O	O
Se	O	O
.	O	O
Kaiserl	O	O
.	O	O
Majestät	O	O
sagten	O	O
mir	O	O
# segment_iiif_link = _
in	O	O
den	O	O
bestimmtesten	O	O
Ausdrücken	O	O
,	O	O
mit	O	O
dem	O	O
festesten	O	O
Tone	O	O
,	O	O
# segment_iiif_link = _
daß	O	O
er	O	O
Genugthuung	O	O
für	O	O
diesen	O	O
,	O	O
ohne	O	O
alle	O	O
Veranlassung	O	O
un	O	O
¬	O	O
# segment_iiif_link = _
ternommenen	O	O
,	O	O
Angriff	O	O
fordere	O	O
;	O	O
daß	O	O
dies	O	O
seine	O	O
Pflicht	O	O
,	O	O
als	O	O
# segment_iiif_link = _
Kaiser	O	O
von	O	O
Rußland	B-loc	O
,	O	O
sey	O	O
,	O	O
und	O	O
daß	O	O
er	O	O
Genugthuung	O	O
wolle	O	O
.	O	O
# segment_iiif_link = _
Er	O	O
fragte	O	O
mich	O	O
,	O	O
ob	O	O
ich	O	O
wagen	O	O
dürfe	O	O
,	O	O
über	O	O
diesen	O	O
Gegenstand	O	O
# segment_iiif_link = _
anderer	O	O
Meynung	O	O
,	O	O
als	O	O
er	O	O
,	O	O
zu	O	O
seyn	O	O
?	O	O
Er	O	O
sagte	O	O
ferner	O	O
;	O	O
daß	O	O
# segment_iiif_link = _
die	O	O
feyerlichsten	O	O
Traktate	O	O
und	O	O
Verpflichtungen	O	O
ihn	O	O
mit	O	O
Dä	O	O
¬	O	O
# segment_iiif_link = _
nemark	O	O
verbänden	O	O
,	O	O
und	O	O
daß	O	O
er	O	O
entschlossen	O	O
sey	O	O
,	O	O
solche	O	O
zu	O	O
# segment_iiif_link = _
erfüllen	O	O
.	O	O
Se	O	O
Kaiserl	O	O
.	O	O
Majestät	O	O
fügten	O	O
hinzu	O	O
,	O	O
er	O	O
vermuthe	O	O
,	O	O
# segment_iiif_link = _
wir	O	O
dächten	O	O
auf	O	O
einen	O	O
Angriff	O	O
auf	O	O
Kronstadt	B-loc	O
;	O	O
daß	O	O
er	O	O
zwar	O	O
den	O	O
# segment_iiif_link = _
Ausgang	O	O
eines	O	O
solchen	O	O
Angriffs	O	O
nicht	O	O
vorhersehen	O	O
könne	O	O
,	O	O
# segment_iiif_link = _
daß	O	O
er	O	O
aber	O	O
bis	O	O
zum	O	O
letzten	O	O
Mann	O	O
Widerstand	O	O
leisten	O	O
,	O	O
und	O	O
# segment_iiif_link = _
sich	O	O
des	O	O
hohen	O	O
Postens	O	O
,	O	O
worauf	O	O
ihn	O	O
die	O	O
Vorsehung	O	O
gestellt	O	O
# segment_iiif_link = _
habe	O	O
,	O	O
nicht	O	O
unwürdig	O	O
bezeigen	O	O
wolle	O	O
.	O	O
—	O	O
Ich	O	O
antwortete	O	O
,	O	O
# segment_iiif_link = _
ich	O	O
hätte	O	O
alle	O	O
Ursache	O	O
zu	O	O
heffen	O	O
und	O	O
zu	O	O
glauben	O	O
,	O	O
daß	O	O
wir	O	O
auf	O	O
# segment_iiif_link = _
Kronstadt	B-loc	O
keinen	O	O
Angriff	O	O
thun	O	O
würden	O	O
.	O	O
Er	O	O
entgegnete	O	O
,	O	O
# segment_iiif_link = _
daß	O	O
er	O	O
darauf	O	O
gefaßt	O	O
,	O	O
und	O	O
sein	O	O
Entschluß	O	O
unerschütterlich	O	O
sey	O	O
.	O	O
# segment_iiif_link = _
Darauf	O	O
endigte	O	O
er	O	O
das	O	O
Gespräch	O	O
,	O	O
und	O	O
wiederholte	O	O
mit	O	O
vielem	O	O
# segment_iiif_link = _
Nachdruck	O	O
:	O	O
„	O	O
Daß	O	O
er	O	O
Genugthuung	O	O
für	O	O
Dänemark	B-loc	O
wolle	O	O
# segment_iiif_link = _
Der	O	O
Freymüthige	O	O
vom	O	O
7	O	O
.	O	O
April	O	O
enthält	O	O
Folgendes	O	O
:	O	O
# segment_iiif_link = _
Hamburger	O	O
-	O	O
Korrespondenten	O	O
wird	O	O
,	O	O
von	O	O
Petersburg	B-loc	O
aus	O	O
,	O	O
# segment_iiif_link = _
angedeutet	O	O
,	O	O
und	O	O
in	O	O
der	O	O
neuesten	O	O
Berlinischen	O	O
Zeitung	O	O
aus	O	O
¬	O	O
# segment_iiif_link = _
gesprochen	O	O
,	O	O
daß	O	O
H	B-pers	O
.	I-pers	O
von	I-pers	O
Rotzebue	I-pers	O
in	O	O
Ehstland	B-loc	O
gestorben	O	O
# segment_iiif_link = _
sey	O	O
.	O	O
Man	O	O
hat	O	O
viele	O	O
Gründe	O	O
,	O	O
die	O	O
Authentizität	O	O
dieser	O	O
Nach	O	O
¬	O	O
# segment_iiif_link = _
richt	O	O
zu	O	O
bezweifeln	O	O
;	O	O
merkwürdig	O	O
ist	O	O
übrigens	O	O
die	O	O
Eilfertig	O	O
¬	O	O
# segment_iiif_link = _
keit	O	O
,	O	O
mit	O	O
der	O	O
man	O	O
dem	O	O
Publikum	O	O
unverbürgte	O	O
Notizen	O	O
mit	O	O
¬	O	O
# segment_iiif_link = _
theilt	O	O
,	O	O
die	O	O
für	O	O
dasselbe	O	O
tief	O	O
erschütternd	O	O
seyn	O	O
müßen	O	O
!	O	O
""""	O	O
Das	O	O
# segment_iiif_link = _
*	O	O
Am	O	O
22	O	O
.	O	O
Merz	B-pers	O
sah	O	O
man	O	O
auf	O	O
der	O	O
großen	O	O
Parade	O	O
zu	O	O
Peters	B-pers	O
¬	I-pers	O
# segment_iiif_link = _
burg	I-loc	O
4	O	O
.	O	O
eroberte	O	O
schwedische	O	O
Fahnen	O	O
und	O	O
eine	O	O
Flagge	O	O
# segment_iiif_link = _
die	O	O
General	B-pers	O
Burhöyden	I-pers	O
eingeschickt	O	O
hatte	O	O
.	O	O

# language = de
# newspaper = NZZ
# date = 1818-01-09
# document_id = NZZ-1818-01-09-a-p0001
# segment_iiif_link = _
Bibelgesellschaften	O	O
.	O	O
# segment_iiif_link = _
Da	O	O
diese	O	O
merkwürdige	O	O
Erscheinung	O	O
,	O	O
diese	O	O
Stimme	O	O
in	O	O
vie	O	O
¬	O	O
# segment_iiif_link = _
len	O	O
Wüsten	O	O
,	O	O
die	O	O
doch	O	O
nicht	O	O
überhört	O	O
wird	O	O
,	O	O
und	O	O
in	O	O
hundert	O	O
# segment_iiif_link = _
Zungen	O	O
viele	O	O
Tausend	O	O
Hörer	O	O
findet	O	O
,	O	O
trotz	O	O
aller	O	O
Anfeindun	O	O
¬	O	O
# segment_iiif_link = _
gen	O	O
und	O	O
Widersprüche	O	O
im	O	O
Stillen	O	O
kräftig	O	O
fortwirkt	O	O
,	O	O
so	O	O
ist	O	O
# segment_iiif_link = _
sie	O	O
eine	O	O
geschichtliche	O	O
Zeitkrise	O	O
,	O	O
die	O	O
immer	O	O
aufs	O	O
Neue	O	O
ins	O	O
# segment_iiif_link = _
Auge	O	O
gefaßt	O	O
werden	O	O
muß	O	O
.	O	O
Was	O	O
sich	O	O
etwa	O	O
mit	O	O
Glimpf	B-pers	O
und	O	O
# segment_iiif_link = _
Fug	O	O
dagegen	O	O
sagen	O	O
ließ	O	O
,	O	O
hat	O	O
noch	O	O
immer	O	O
der	O	O
würdige	O	O
De	O	O
¬	O	O
# segment_iiif_link = _
kan	O	O
Kaiser	O	O
in	O	O
Ansbach	B-loc	O
in	O	O
seinem	O	O
Sendschreiben	O	O
an	O	O
# segment_iiif_link = _
die	O	O
verehrte	O	O
Bibelgesellschaft	O	O
in	O	O
Nürnberg	B-loc	O
am	O	O
# segment_iiif_link = _
billigsten	O	O
ausgesprochen	O	O
.	O	O
Man	O	O
darf	O	O
nicht	O	O
ungelesen	O	O
lassen	O	O
,	O	O
# segment_iiif_link = _
was	O	O
M	B-pers	O
.	I-pers	O
Mles	I-pers	O
,	I-pers	O
Pfarrer	I-pers	O
zu	O	O
Deyzisau	B-loc	O
im	O	O
Königreich	B-loc	O
Wür	I-loc	O
¬	I-loc	O
# segment_iiif_link = _
temberg	I-pers	O
,	O	O
in	O	O
seiner	O	O
Prüfung	O	O
dieses	O	O
Sendschreibens	O	O
(	O	O
128	O	O
.	O	O
S	O	O
.	O	O
# segment_iiif_link = _
Stuttgart	B-loc	O
,	O	O
bey	O	O
Steinkopf	B-loc	O
)	O	O
dagegen	O	O
erinnert	O	O
hat	O	O
.	O	O
Auch	O	O
er	O	O
,	O	O
# segment_iiif_link = _
dem	O	O
Grundgesetz	O	O
der	O	O
Londoner	O	O
-	O	O
Muttergesellschaft	O	O
treu	O	O
,	O	O
# segment_iiif_link = _
verweigert	O	O
alle	O	O
vorgeschlagenen	O	O
Bibelauszüge	O	O
und	O	O
Verbesse	O	O
¬	O	O
# segment_iiif_link = _
rung	O	O
der	O	O
lutherischen	O	O
Uebersetzung	O	O
,	O	O
bis	O	O
ein	O	O
zweyter	O	O
Luther	O	O
# segment_iiif_link = _
eine	O	O
neue	O	O
Reformation	O	O
der	O	O
protestantischen	O	O
Kirche	O	O
,	O	O
deren	O	O
# segment_iiif_link = _
sie	O	O
so	O	O
sehr	O	O
bedürfe	O	O
,	O	O
an	O	O
Haupt	O	O
und	O	O
Gliedern	O	O
beginne	O	O
.	O	O
Man	O	O
# segment_iiif_link = _
mag	O	O
aber	O	O
mit	O	O
Recht	O	O
fragen	O	O
,	O	O
wer	O	O
ist	O	O
da	O	O
das	O	O
Haupt	O	O
?	O	O
die	O	O
# segment_iiif_link = _
Glieder	O	O
sehn	O	O
wir	O	O
wohl	O	O
.	O	O
Die	O	O
große	O	O
Frage	O	O
des	O	O
Apostels	O	O
an	O	O
# segment_iiif_link = _
den	O	O
Kämmerer	O	O
aus	O	O
Mohrenland	B-loc	O
:	O	O
Verstehest	O	O
du	O	O
auch	O	O
was	O	O
# segment_iiif_link = _
du	O	O
liesest	O	O
?	O	O
ist	O	O
und	O	O
bleibt	O	O
der	O	O
größte	O	O
Zweifelsknoten	O	O
.	O	O
Er	O	O
ist	O	O
# segment_iiif_link = _
in	O	O
dem	O	O
geistreichen	O	O
Fragmente	O	O
von	O	O
Schmidthammer	B-pers	O
über	O	O
# segment_iiif_link = _
Beförderung	O	O
des	O	O
Bibelgebrauchs	O	O
(	O	O
Berlin	B-loc	O
,	O	O
Realschul	O	O
¬	O	O
# segment_iiif_link = _
Buchhandlung	O	O
)	O	O
mehr	O	O
angedeutet	O	O
,	O	O
als	O	O
gelöst	O	O
.	O	O
Luther	B-pers	O
ver	O	O
¬	O	O
# segment_iiif_link = _
stand	O	O
selbst	O	O
manche	O	O
Stelle	O	O
nicht	O	O
,	O	O
und	O	O
übersetzte	O	O
falsch	O	O
(	O	O
au	O	O
¬	O	O
# segment_iiif_link = _
genscheinliche	O	O
Beweise	O	O
hat	O	O
zuletzt	O	O
der	O	O
gelehrte	O	O
und	O	O
freymü	O	O
¬	O	O
# segment_iiif_link = _
thige	I-pers	O
Oberhofprediger	I-pers	O
Dr	I-pers	O
.	I-pers	O
Ammon	I-pers	O
in	O	O
Dresden	B-loc	O
im	O	O
ersten	O	O
# segment_iiif_link = _
Bande	O	O
seines	O	O
Magazins	O	O
für	O	O
christliche	O	O
Prediger	O	O
in	O	O
# segment_iiif_link = _
Menge	O	O
aufgeführt	O	O
)	O	O
,	O	O
und	O	O
so	O	O
muß	O	O
vieles	O	O
dem	O	O
Volke	O	O
unver	O	O
¬	O	O
# segment_iiif_link = _
ständlich	O	O
seyn	O	O
,	O	O
wenn	O	O
es	O	O
auch	O	O
nicht	O	O
veraltet	O	O
wäre	O	O
.	O	O
Allein	O	O
# segment_iiif_link = _
diese	O	O
kleinen	O	O
Unvollkommenheiten	O	O
heben	O	O
den	O	O
überschwengli	O	O
¬	O	O
# segment_iiif_link = _
chen	O	O
Nutzen	O	O
nicht	O	O
auf	O	O
,	O	O
den	O	O
eine	O	O
solche	O	O
Verbreitung	O	O
der	O	O
Bi	O	O
¬	O	O
# segment_iiif_link = _
bel	O	O
über	O	O
die	O	O
ganze	O	O
Erde	O	O
sowohl	O	O
,	O	O
als	O	O
in	O	O
den	O	O
verschiedenen	O	O
# segment_iiif_link = _
christlichen	O	O
Konfessionen	O	O
,	O	O
hervorzubringen	O	O
geeignet	O	O
ist	O	O
.	O	O
Nie	O	O
¬	O	O
# segment_iiif_link = _
mand	O	O
hat	O	O
es	O	O
kräftiger	O	O
ausgedrückt	O	O
und	O	O
überzeugender	O	O
aus	O	O
¬	O	O
# segment_iiif_link = _
einandergesetzt	O	O
,	O	O
als	O	O
der	O	O
ehrwürdige	O	O
Antistes	O	O
der	O	O
Zürcheri	O	O
¬	O	O
# segment_iiif_link = _
schen	I-pers	O
Kirche	I-pers	O
,	I-pers	O
Heß	I-pers	O
,	O	O
in	O	O
seiner	O	O
inhaltschweren	O	O
Abhandlung	O	O
:	O	O
