TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC	LEVENSHTEIN	DATE
absolue	O	O									1798-01-04 00:00:00
# segment_iiif_link											
aux	O	O									1798-01-04 00:00:00
biens	O	O									1798-01-04 00:00:00
et	O	O									1798-01-04 00:00:00
aux	O	O									1798-01-04 00:00:00
dettes	O	O									1798-01-04 00:00:00
présentes	O	O									1798-01-04 00:00:00
et	O	O									1798-01-04 00:00:00
futures	O	O									1798-01-04 00:00:00
de	O	O									1798-01-04 00:00:00
# segment_iiif_link											
Jean	B-PERS	O									1798-01-04 00:00:00
-	I-PERS	O									1798-01-04 00:00:00
Baptiste	I-PERS	O									1798-01-04 00:00:00
Bourgoin	I-PERS	O									1798-01-04 00:00:00
leur	O	O									1798-01-04 00:00:00
pe	O	O									1798-01-04 00:00:00
'	O	O									1798-01-04 00:00:00
re	O	O									1798-01-04 00:00:00
,	O	O									1798-01-04 00:00:00
et	O	O									1798-01-04 00:00:00
qu	O	O									1798-01-04 00:00:00
'	O	O									1798-01-04 00:00:00
en	O	O									1798-01-04 00:00:00
conséquence	O	O									1798-01-04 00:00:00
,	O	O									1798-01-04 00:00:00
les	O	O									1798-01-04 00:00:00
# segment_iiif_link											
susdits	O	O									1798-01-04 00:00:00
enfans	O	O									1798-01-04 00:00:00
,	O	O									1798-01-04 00:00:00
duement	O	O									1798-01-04 00:00:00
assistés	O	O									1798-01-04 00:00:00
et	O	O									1798-01-04 00:00:00
autorisés	O	O									1798-01-04 00:00:00
,	O	O									1798-01-04 00:00:00
se	O	O									1798-01-04 00:00:00
# segment_iiif_link											
présenteront	O	O									1798-01-04 00:00:00
par	O	O									1798-01-04 00:00:00
-	O	O									1798-01-04 00:00:00
devant	O	O									1798-01-04 00:00:00
ia	O	O									1798-01-04 00:00:00
noble	O	O									1798-01-04 00:00:00
justice	O	O									1798-01-04 00:00:00
du	O	O									1798-01-04 00:00:00
Landeron	O	O									1798-01-04 00:00:00
_	O	O									1798-01-04 00:00:00
,	O	O									1798-01-04 00:00:00
le	O	O									1798-01-04 00:00:00
mer	O	O									1798-01-04 00:00:00
-	O	O									1798-01-04 00:00:00
,	O	O									1798-01-04 00:00:00
# segment_iiif_link											
credi	O	O									1798-01-04 00:00:00
17	O	O									1798-01-04 00:00:00
janvier	O	O									1798-01-04 00:00:00
courant	O	O									1798-01-04 00:00:00
,	O	O									1798-01-04 00:00:00
pour	O	O									1798-01-04 00:00:00
y	O	O									1798-01-04 00:00:00
porter	O	O									1798-01-04 00:00:00
la	O	O									1798-01-04 00:00:00
prédite	O	O									1798-01-04 00:00:00
# segment_iiif_link											
renonciation	O	O									1798-01-04 00:00:00
;	O	O									1798-01-04 00:00:00
assignant	O	O									1798-01-04 00:00:00
péremptoirement	O	O									1798-01-04 00:00:00
tous	O	O									1798-01-04 00:00:00
ceux	O	O									1798-01-04 00:00:00
qui	O	O									1798-01-04 00:00:00
# segment_iiif_link											
estimeraient	O	O									1798-01-04 00:00:00
être	O	O									1798-01-04 00:00:00
'	O	O									1798-01-04 00:00:00
fondés	O	O									1798-01-04 00:00:00
à	O	O									1798-01-04 00:00:00
s	O	O									1798-01-04 00:00:00
'	O	O									1798-01-04 00:00:00
y	O	O									1798-01-04 00:00:00
opposer	O	O									1798-01-04 00:00:00
,	O	O									1798-01-04 00:00:00
à	O	O									1798-01-04 00:00:00
_	O	O									1798-01-04 00:00:00
comparcutre	O	O									1798-01-04 00:00:00
ce	O	O									1798-01-04 00:00:00
jour	O	O									1798-01-04 00:00:00
-	O	O									1798-01-04 00:00:00
là	O	O									1798-01-04 00:00:00
# segment_iiif_link											
en	O	O									1798-01-04 00:00:00
dite	O	O									1798-01-04 00:00:00
justice	O	O									1798-01-04 00:00:00
,	O	O									1798-01-04 00:00:00
pour	O	O									1798-01-04 00:00:00
hure	O	O									1798-01-04 00:00:00
va	O	O									1798-01-04 00:00:00
_	O	O									1798-01-04 00:00:00
^	O	O									1798-01-04 00:00:00
pir	O	O									1798-01-04 00:00:00
leurs	O	O									1798-01-04 00:00:00
droits	O	O									1798-01-04 00:00:00
et	O	O									1798-01-04 00:00:00
alléguer	O	O									1798-01-04 00:00:00
# segment_iiif_link											
leurs	O	O									1798-01-04 00:00:00
moyens	O	O									1798-01-04 00:00:00
d	O	O									1798-01-04 00:00:00
'	O	O									1798-01-04 00:00:00
_	O	O									1798-01-04 00:00:00
opposW	O	O									1798-01-04 00:00:00
_	O	O									1798-01-04 00:00:00
|	O	O									1798-01-04 00:00:00
_	O	O									1798-01-04 00:00:00
priS	O	O									1798-01-04 00:00:00
,	O	O									1798-01-04 00:00:00
sou	O	O									1798-01-04 00:00:00
3	O	O									1798-01-04 00:00:00
peine	O	O									1798-01-04 00:00:00
'	O	O									1798-01-04 00:00:00
de	O	O									1798-01-04 00:00:00
forclusion	O	O									1798-01-04 00:00:00
.	O	O									1798-01-04 00:00:00
# segment_iiif_link											
X	O	O									1798-01-04 00:00:00
.	O	O									1798-01-04 00:00:00
En	O	O									1798-01-04 00:00:00
vertu	O	O									1798-01-04 00:00:00
d	O	O									1798-01-04 00:00:00
'	O	O									1798-01-04 00:00:00
un	O	O									1798-01-04 00:00:00
gracieux	O	O									1798-01-04 00:00:00
arrêt	O	O									1798-01-04 00:00:00
du	O	O									1798-01-04 00:00:00
Gouvernement	O	O									1798-01-04 00:00:00
en	O	O									1798-01-04 00:00:00
date	O	O									1798-01-04 00:00:00
di	O	O									1798-01-04 00:00:00
»	O	O									1798-01-04 00:00:00
# segment_iiif_link											
3	O	O									1798-01-04 00:00:00
octobre	O	O									1798-01-04 00:00:00
,	O	O									1798-01-04 00:00:00
et	O	O									1798-01-04 00:00:00
ensuite	O	O									1798-01-04 00:00:00
de	O	O									1798-01-04 00:00:00
la	O	O									1798-01-04 00:00:00
direction	O	O									1798-01-04 00:00:00
donnée	O	O									1798-01-04 00:00:00
le	O	O									1798-01-04 00:00:00
35	O	O									1798-01-04 00:00:00
novembre	O	O									1798-01-04 00:00:00
# segment_iiif_link											
dernier	O	O									1798-01-04 00:00:00
.	O	O									1798-01-04 00:00:00
par	O	O									1798-01-04 00:00:00
l	O	O									1798-01-04 00:00:00
'	O	O									1798-01-04 00:00:00
honorable	O	O									1798-01-04 00:00:00
cour	O	O									1798-01-04 00:00:00
dé	O	O									1798-01-04 00:00:00
justice	O	O									1798-01-04 00:00:00
du	O	O									1798-01-04 00:00:00
Val	B-LOC	O									1798-01-04 00:00:00
-	I-LOC	O									1798-01-04 00:00:00
de	I-LOC	O									1798-01-04 00:00:00
-	I-LOC	O									1798-01-04 00:00:00
Travers	I-LOC	O									1798-01-04 00:00:00
,	O	O									1798-01-04 00:00:00
:	O	O									1798-01-04 00:00:00
# segment_iiif_link											
le	O	O									1798-01-04 00:00:00
sieur	B-PERS	O									1798-01-04 00:00:00
Daniel	I-PERS	O									1798-01-04 00:00:00
Meuron	I-PERS	O									1798-01-04 00:00:00
,	I-PERS	O									1798-01-04 00:00:00
maïUe	I-PERS	O									1798-01-04 00:00:00
charpentier	I-PERS	O									1798-01-04 00:00:00
,	I-PERS	O									1798-01-04 00:00:00
_	I-PERS	O									1798-01-04 00:00:00
bourgeois	I-PERS	O									1798-01-04 00:00:00
de	I-PERS	O									1798-01-04 00:00:00
# segment_iiif_link											
Neuchatel	I-PERS	O									1798-01-04 00:00:00
,	O	O									1798-01-04 00:00:00
en	O	O									1798-01-04 00:00:00
sa	O	O									1798-01-04 00:00:00
qualité	O	O									1798-01-04 00:00:00
de	O	O									1798-01-04 00:00:00
tuteur	O	O									1798-01-04 00:00:00
juridiquement	O	O									1798-01-04 00:00:00
établi	O	O									1798-01-04 00:00:00
aux	O	O									1798-01-04 00:00:00
.	O	O									1798-01-04 00:00:00
# segment_iiif_link											
quatre	O	O									1798-01-04 00:00:00
enfans	O	O									1798-01-04 00:00:00
en	O	O									1798-01-04 00:00:00
bas	O	O									1798-01-04 00:00:00
âge	O	O									1798-01-04 00:00:00
de	O	O									1798-01-04 00:00:00
Frédéric	B-PERS	O									1798-01-04 00:00:00
-	I-PERS	O									1798-01-04 00:00:00
Henri	I-PERS	O									1798-01-04 00:00:00
_	I-PERS	O									1798-01-04 00:00:00
Lequin	I-PERS	O									1798-01-04 00:00:00
de	I-PERS	O									1798-01-04 00:00:00
# segment_iiif_link											
Fleurier	I-PERS	O									1798-01-04 00:00:00
et	I-PERS	O									1798-01-04 00:00:00
de	I-PERS	O									1798-01-04 00:00:00
Marie	I-PERS	O									1798-01-04 00:00:00
-	I-PERS	O									1798-01-04 00:00:00
Louise	I-PERS	O									1798-01-04 00:00:00
Meuron	I-PERS	O									1798-01-04 00:00:00
,	O	O									1798-01-04 00:00:00
qui	O	O									1798-01-04 00:00:00
sont	O	O									1798-01-04 00:00:00
nommément	O	O									1798-01-04 00:00:00
,	O	O									1798-01-04 00:00:00
'	O	O									1798-01-04 00:00:00
# segment_iiif_link											
Jouas	B-PERS	O									1798-01-04 00:00:00
Frédéric	I-PERS	O									1798-01-04 00:00:00
,	I-PERS	O									1798-01-04 00:00:00
Auguste	I-PERS	O									1798-01-04 00:00:00
,	O	O									1798-01-04 00:00:00
Alexandre	B-PERS	O									1798-01-04 00:00:00
et	O	O									1798-01-04 00:00:00
Louise	B-PERS	O									1798-01-04 00:00:00
-	I-PERS	O									1798-01-04 00:00:00
Rosalio	I-PERS	O									1798-01-04 00:00:00
# segment_iiif_link											
Lequin	I-PERS	O									1798-01-04 00:00:00
,	O	O									1798-01-04 00:00:00
fait	O	O									1798-01-04 00:00:00
savoir	O	O									1798-01-04 00:00:00
qu	O	O									1798-01-04 00:00:00
'	O	O									1798-01-04 00:00:00
il	O	O									1798-01-04 00:00:00
se	O	O									1798-01-04 00:00:00
présentera	O	O									1798-01-04 00:00:00
en	O	O									1798-01-04 00:00:00
dite	O	O									1798-01-04 00:00:00
justice	O	O									1798-01-04 00:00:00
le	O	O									1798-01-04 00:00:00
# segment_iiif_link											
samedi	O	O									1798-01-04 00:00:00
30	O	O									1798-01-04 00:00:00
janvier	O	O									1798-01-04 00:00:00
courant	O	O									1798-01-04 00:00:00
,	O	O									1798-01-04 00:00:00
pour	O	O									1798-01-04 00:00:00
y	O	O									1798-01-04 00:00:00
solliciter	O	O									1798-01-04 00:00:00
eu	O	O									1798-01-04 00:00:00
faveur	O	O									1798-01-04 00:00:00
de	O	O									1798-01-04 00:00:00
ses	O	O									1798-01-04 00:00:00
# segment_iiif_link											
susdits	O	O									1798-01-04 00:00:00
pupilles	O	O									1798-01-04 00:00:00
,	O	O									1798-01-04 00:00:00
une	O	O									1798-01-04 00:00:00
renonciation	O	O									1798-01-04 00:00:00
formelle	O	O									1798-01-04 00:00:00
et	O	O									1798-01-04 00:00:00
jiiridique	O	O									1798-01-04 00:00:00
aux	O	O									1798-01-04 00:00:00
# segment_iiif_link											
bien	O	O									1798-01-04 00:00:00
3	O	O									1798-01-04 00:00:00
et	O	O									1798-01-04 00:00:00
dettes	O	O									1798-01-04 00:00:00
présens	O	O									1798-01-04 00:00:00
et	O	O									1798-01-04 00:00:00
*	O	O									1798-01-04 00:00:00
futurs	O	O									1798-01-04 00:00:00
dudit	O	O									1798-01-04 00:00:00
Frédéric	B-PERS	O									1798-01-04 00:00:00
Henri	I-PERS	O									1798-01-04 00:00:00
# segment_iiif_link											
Lequin	I-PERS	O									1798-01-04 00:00:00
leur	O	O									1798-01-04 00:00:00
père	O	O									1798-01-04 00:00:00
.	O	O									1798-01-04 00:00:00
En	O	O									1798-01-04 00:00:00
conséquence	O	O									1798-01-04 00:00:00
de	O	O									1798-01-04 00:00:00
quoi	O	O									1798-01-04 00:00:00
tous	O	O									1798-01-04 00:00:00
ceux	O	O									1798-01-04 00:00:00
qui	O	O									1798-01-04 00:00:00
# segment_iiif_link											
pourraient	O	O									1798-01-04 00:00:00
opposer	O	O									1798-01-04 00:00:00
à	O	O									1798-01-04 00:00:00
ladite	O	O									1798-01-04 00:00:00
renonciation	O	O									1798-01-04 00:00:00
,	O	O									1798-01-04 00:00:00
sont	O	O									1798-01-04 00:00:00
cités	O	O									1798-01-04 00:00:00
# segment_iiif_link											
péremptoirement	O	O									1798-01-04 00:00:00
à	O	O									1798-01-04 00:00:00
se	O	O									1798-01-04 00:00:00
présenter	O	O									1798-01-04 00:00:00
en	O	O									1798-01-04 00:00:00
justice	O	O									1798-01-04 00:00:00
dudit	O	O									1798-01-04 00:00:00
Val	B-LOC	O									1798-01-04 00:00:00
de	I-LOC	O									1798-01-04 00:00:00
-	I-LOC	O									1798-01-04 00:00:00
Travers	I-LOC	O									1798-01-04 00:00:00
1	O	O									1798-01-04 00:00:00
©	O	O									1798-01-04 00:00:00
# segment_iiif_link											
dit	O	O									1798-01-04 00:00:00
30	O	O									1798-01-04 00:00:00
janvier	O	O									1798-01-04 00:00:00
cornant	O	O									1798-01-04 00:00:00
,	O	O									1798-01-04 00:00:00
_	O	O									1798-01-04 00:00:00
poar	O	O									1798-01-04 00:00:00
y	O	O									1798-01-04 00:00:00
_	O	O									1798-01-04 00:00:00
seuieuir	O	O									1798-01-04 00:00:00
leurs	O	O									1798-01-04 00:00:00
durits	O	O									1798-01-04 00:00:00
,	O	O									1798-01-04 00:00:00
(	O	O									1798-01-04 00:00:00
«	O	O									1798-01-04 00:00:00
14	O	O									1798-01-04 00:00:00
s	O	O									1798-01-04 00:00:00
# segment_iiif_link											
pain	O	O									1798-01-04 00:00:00
»	O	O									1798-01-04 00:00:00
«	O	O									1798-01-04 00:00:00
la	O	O									1798-01-04 00:00:00
forclusion	O	O									1798-01-04 00:00:00
.	O	O									1798-01-04 00:00:00
											
# document_id											
# segment_iiif_link											
AVIS	O	O									1798-02-15 00:00:00
DIVERS	O	O									1798-02-15 00:00:00
.	O	O									1798-02-15 00:00:00
# segment_iiif_link											
1	O	O									1798-02-15 00:00:00
.	O	O									1798-02-15 00:00:00
Les	O	O									1798-02-15 00:00:00
circonstances	O	O									1798-02-15 00:00:00
ttu	O	O									1798-02-15 00:00:00
moment	O	O									1798-02-15 00:00:00
ont	O	O									1798-02-15 00:00:00
engage	O	O									1798-02-15 00:00:00
le	O	O									1798-02-15 00:00:00
Magistrat	B-PROD	O									1798-02-15 00:00:00
rie	O	O									1798-02-15 00:00:00
.	O	O									1798-02-15 00:00:00
# segment_iiif_link											
Neuchatel	B-LOC	O									1798-02-15 00:00:00
à	O	O									1798-02-15 00:00:00
renvoyer	O	O									1798-02-15 00:00:00
le	O	O									1798-02-15 00:00:00
tirage	O	O									1798-02-15 00:00:00
de	O	O									1798-02-15 00:00:00
ia	O	O									1798-02-15 00:00:00
première	O	O									1798-02-15 00:00:00
classe	O	O									1798-02-15 00:00:00
# segment_iiif_link											
dix	O	O									1798-02-15 00:00:00
'	O	O									1798-02-15 00:00:00
neuvième	O	O									1798-02-15 00:00:00
Loterie	O	O									1798-02-15 00:00:00
à	O	O									1798-02-15 00:00:00
une	O	O									1798-02-15 00:00:00
époque	O	O									1798-02-15 00:00:00
plus	O	O									1798-02-15 00:00:00
favorable	O	O									1798-02-15 00:00:00
,	O	O									1798-02-15 00:00:00
ce	O	O									1798-02-15 00:00:00
dont	O	O									1798-02-15 00:00:00
# segment_iiif_link											
on	O	O									1798-02-15 00:00:00
aura	O	O									1798-02-15 00:00:00
soin	O	O									1798-02-15 00:00:00
d	O	O									1798-02-15 00:00:00
'	O	O									1798-02-15 00:00:00
informer	O	O									1798-02-15 00:00:00
le	O	O									1798-02-15 00:00:00
public	O	O									1798-02-15 00:00:00
par	O	O									1798-02-15 00:00:00
des	O	O									1798-02-15 00:00:00
bulletins	O	O									1798-02-15 00:00:00
# segment_iiif_link											
impri	O	O									1798-02-15 00:00:00
'	O	O									1798-02-15 00:00:00
mes	O	O									1798-02-15 00:00:00
qui	O	O									1798-02-15 00:00:00
seront	O	O									1798-02-15 00:00:00
délivrés	O	O									1798-02-15 00:00:00
par	O	O									1798-02-15 00:00:00
les	O	O									1798-02-15 00:00:00
Collecteurs	O	O									1798-02-15 00:00:00
à	O	O									1798-02-15 00:00:00
tous	O	O									1798-02-15 00:00:00
les	O	O									1798-02-15 00:00:00
# segment_iiif_link											
intéressés	O	O									1798-02-15 00:00:00
.	O	O									1798-02-15 00:00:00
# segment_iiif_link											
g	O	O									1798-02-15 00:00:00
.	O	O									1798-02-15 00:00:00
'	O	O									1798-02-15 00:00:00
Tous	O	O									1798-02-15 00:00:00
les	O	O									1798-02-15 00:00:00
créanciers	O	O									1798-02-15 00:00:00
à	O	O									1798-02-15 00:00:00
la	O	O									1798-02-15 00:00:00
masse	O	O									1798-02-15 00:00:00
des	O	O									1798-02-15 00:00:00
biens	O	O									1798-02-15 00:00:00
du	O	O									1798-02-15 00:00:00
nommé	O	O									1798-02-15 00:00:00
# segment_iiif_link											
Jean	B-PERS	O									1798-02-15 00:00:00
'	I-PERS	O									1798-02-15 00:00:00
""""	I-PERS	O									1798-02-15 00:00:00
Fréderic	I-PERS	O									1798-02-15 00:00:00
/	O	O									1798-02-15 00:00:00
Stnuffer	B-PERS	O									1798-02-15 00:00:00
,	O	O									1798-02-15 00:00:00
meunier	O	O									1798-02-15 00:00:00
aux	O	O									1798-02-15 00:00:00
moulins	O	O									1798-02-15 00:00:00
de	O	O									1798-02-15 00:00:00
la	O	O									1798-02-15 00:00:00
Prise	B-LOC	O									1798-02-15 00:00:00
,	O	O									1798-02-15 00:00:00
sont	O	O									1798-02-15 00:00:00
# segment_iiif_link											
avisés	O	O									1798-02-15 00:00:00
.	O	O									1798-02-15 00:00:00
que	O	O									1798-02-15 00:00:00
M	O	O									1798-02-15 00:00:00
.	O	O									1798-02-15 00:00:00
le	O	O									1798-02-15 00:00:00
maire	O	O									1798-02-15 00:00:00
a	O	O									1798-02-15 00:00:00
fixé	O	O									1798-02-15 00:00:00
la	O	O									1798-02-15 00:00:00
journée	O	O									1798-02-15 00:00:00
pour	O	O									1798-02-15 00:00:00
procéder	O	O									1798-02-15 00:00:00
aux	O	O									1798-02-15 00:00:00
# segment_iiif_link											
_	O	O									1798-02-15 00:00:00
collocatlons	O	O									1798-02-15 00:00:00
au	O	O									1798-02-15 00:00:00
vendredi	O	O									1798-02-15 00:00:00
16	O	O									1798-02-15 00:00:00
février	O	O									1798-02-15 00:00:00
courant	O	O									1798-02-15 00:00:00
,	O	O									1798-02-15 00:00:00
en	O	O									1798-02-15 00:00:00
conséquence	O	O									1798-02-15 00:00:00
# segment_iiif_link											
de	O	O									1798-02-15 00:00:00
quoi	O	O									1798-02-15 00:00:00
ils	O	O									1798-02-15 00:00:00
sont	O	O									1798-02-15 00:00:00
cités	O	O									1798-02-15 00:00:00
à	O	O									1798-02-15 00:00:00
se	O	O									1798-02-15 00:00:00
présenter	O	O									1798-02-15 00:00:00
ce	O	O									1798-02-15 00:00:00
jour	O	O									1798-02-15 00:00:00
là	O	O									1798-02-15 00:00:00
à	O	O									1798-02-15 00:00:00
neuf	O	O									1798-02-15 00:00:00
heures	O	O									1798-02-15 00:00:00
# segment_iiif_link											
""""	O	O									1798-02-15 00:00:00
dû	O	O									1798-02-15 00:00:00
matin	O	O									1798-02-15 00:00:00
dans	O	O									1798-02-15 00:00:00
l	O	O									1798-02-15 00:00:00
'	O	O									1798-02-15 00:00:00
hôtel	O	O									1798-02-15 00:00:00
-	O	O									1798-02-15 00:00:00
de	O	O									1798-02-15 00:00:00
-	O	O									1798-02-15 00:00:00
ville	O	O									1798-02-15 00:00:00
,	O	O									1798-02-15 00:00:00
,	O	O									1798-02-15 00:00:00
.	O	O									1798-02-15 00:00:00
,	O	O									1798-02-15 00:00:00
.	O	O									1798-02-15 00:00:00
,	O	O									1798-02-15 00:00:00
# segment_iiif_link											
37	O	O									1798-02-15 00:00:00
'	O	O									1798-02-15 00:00:00
Les	O	O									1798-02-15 00:00:00
'	O	O									1798-02-15 00:00:00
sœurs	O	O									1798-02-15 00:00:00
_	O	O									1798-02-15 00:00:00
Gendre	O	O									1798-02-15 00:00:00
ayant	O	O									1798-02-15 00:00:00
entiepriE	O	O									1798-02-15 00:00:00
,	O	O									1798-02-15 00:00:00
l	O	O									1798-02-15 00:00:00
'	O	O									1798-02-15 00:00:00
établissement	O	O									1798-02-15 00:00:00
en	O	O									1798-02-15 00:00:00
# segment_iiif_link											
pâtisserie	O	O									1798-02-15 00:00:00
que	O	O									1798-02-15 00:00:00
tenoit	O	O									1798-02-15 00:00:00
feu	O	O									1798-02-15 00:00:00
Mlle	B-PERS	O									1798-02-15 00:00:00
.	I-PERS	O									1798-02-15 00:00:00
Eckard	I-PERS	O									1798-02-15 00:00:00
à	O	O									1798-02-15 00:00:00
la	O	O									1798-02-15 00:00:00
rue	B-LOC	O									1798-02-15 00:00:00
des	I-LOC	O									1798-02-15 00:00:00
Moulins	I-LOC	O									1798-02-15 00:00:00
,	O	O									1798-02-15 00:00:00
# segment_iiif_link											
avisent	O	O									1798-02-15 00:00:00
lé	O	O									1798-02-15 00:00:00
public	O	O									1798-02-15 00:00:00
qu	O	O									1798-02-15 00:00:00
'	O	O									1798-02-15 00:00:00
elles	O	O									1798-02-15 00:00:00
le	O	O									1798-02-15 00:00:00
tiendront	O	O									1798-02-15 00:00:00
sur	O	O									1798-02-15 00:00:00
le	O	O									1798-02-15 00:00:00
même	O	O									1798-02-15 00:00:00
pied	O	O									1798-02-15 00:00:00
# segment_iiif_link											
que	O	O									1798-02-15 00:00:00
ladite	O	O									1798-02-15 00:00:00
demoiselle	O	O									1798-02-15 00:00:00
Eckard	B-PERS	O									1798-02-15 00:00:00
.	O	O									1798-02-15 00:00:00
Elles	O	O									1798-02-15 00:00:00
osent	O	O									1798-02-15 00:00:00
se	O	O									1798-02-15 00:00:00
flatter	O	O									1798-02-15 00:00:00
que	O	O									1798-02-15 00:00:00
les	O	O									1798-02-15 00:00:00
# segment_iiif_link											
p	O	O									1798-02-15 00:00:00
ersonnes	O	O									1798-02-15 00:00:00
qui	O	O									1798-02-15 00:00:00
voudront	O	O									1798-02-15 00:00:00
bien	O	O									1798-02-15 00:00:00
les	O	O									1798-02-15 00:00:00
honorer	O	O									1798-02-15 00:00:00
de	O	O									1798-02-15 00:00:00
leur	O	O									1798-02-15 00:00:00
# segment_iiif_link											
confianceauront	O	O									1798-02-15 00:00:00
lieu	O	O									1798-02-15 00:00:00
d	O	O									1798-02-15 00:00:00
'	O	O									1798-02-15 00:00:00
être	O	O									1798-02-15 00:00:00
satisfaites	O	O									1798-02-15 00:00:00
à	O	O									1798-02-15 00:00:00
tous	O	O									1798-02-15 00:00:00
égards	O	O									1798-02-15 00:00:00
.	O	O									1798-02-15 00:00:00
.	O	O									1798-02-15 00:00:00
# segment_iiif_link											
4	O	O									1798-02-15 00:00:00
.	O	O									1798-02-15 00:00:00
,	O	O									1798-02-15 00:00:00
Un	O	O									1798-02-15 00:00:00
bourgeois	O	O									1798-02-15 00:00:00
de	O	O									1798-02-15 00:00:00
cette	O	O									1798-02-15 00:00:00
ville	O	O									1798-02-15 00:00:00
,	O	O									1798-02-15 00:00:00
connu	O	O									1798-02-15 00:00:00
avantageusement	O	O									1798-02-15 00:00:00
par	O	O									1798-02-15 00:00:00
# segment_iiif_link											
ses	O	O									1798-02-15 00:00:00
bonnesi	O	O									1798-02-15 00:00:00
mœurs	O	O									1798-02-15 00:00:00
et	O	O									1798-02-15 00:00:00
conduite	O	O									1798-02-15 00:00:00
,	O	O									1798-02-15 00:00:00
desireroit	O	O									1798-02-15 00:00:00
nouver	O	O									1798-02-15 00:00:00
une	O	O									1798-02-15 00:00:00
petite	O	O									1798-02-15 00:00:00
# segment_iiif_link											
auberge	O	O									1798-02-15 00:00:00
a	O	O									1798-02-15 00:00:00
louer	O	O									1798-02-15 00:00:00
,	O	O									1798-02-15 00:00:00
ou	O	O									1798-02-15 00:00:00
un	O	O									1798-02-15 00:00:00
emplacement	O	O									1798-02-15 00:00:00
propre	O	O									1798-02-15 00:00:00
à	O	O									1798-02-15 00:00:00
un	O	O									1798-02-15 00:00:00
vendage	O	O									1798-02-15 00:00:00
# segment_iiif_link											
de	O	O									1798-02-15 00:00:00
vin	O	O									1798-02-15 00:00:00
;	O	O									1798-02-15 00:00:00
ou	O	O									1798-02-15 00:00:00
encore	O	O									1798-02-15 00:00:00
'	O	O									1798-02-15 00:00:00
un	O	O									1798-02-15 00:00:00
jardin	O	O									1798-02-15 00:00:00
avec	O	O									1798-02-15 00:00:00
logement	O	O									1798-02-15 00:00:00
,	O	O									1798-02-15 00:00:00
où	O	O									1798-02-15 00:00:00
!	O	O									1798-02-15 00:00:00
l	O	O									1798-02-15 00:00:00
'	O	O									1798-02-15 00:00:00
