TOKEN	NE-COARSE-LIT	NE-COARSE-METO
3	O	O
octobre	O	O
,	O	O
et	O	O
ensuite	O	O
de	O	O
la	O	O
direction	O	O
donnée	O	O
le	O	O
35	O	O
novembre	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/616,1507,513,44/full/0/default.jpg
dernier	O	O
.	O	O
par	O	O
l	O	O
'	O	O
honorable	O	O
cour	O	O
dé	O	O
justice	O	O
du	O	O
Val	B-loc	O
-	I-loc	O
de	I-loc	O
-	I-loc	O
Travers	I-loc	O
,	O	O
:	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/616,1529,505,45/full/0/default.jpg
le	O	O
sieur	B-pers	O
Daniel	I-pers	O
Meuron	I-pers	O
,	O	O
maïUe	O	O
charpentier	O	O
,	O	O
_	O	O
bourgeois	O	O
de	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/616,1551,509,44/full/0/default.jpg
Neuchatel	O	O
,	O	O
en	O	O
sa	O	O
qualité	O	O
de	O	O
tuteur	O	O
juridiquement	O	O
établi	O	O
aux	O	O
.	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/616,1573,508,44/full/0/default.jpg
quatre	O	O
enfans	O	O
en	O	O
bas	O	O
âge	O	O
de	O	O
Frédéric	B-pers	O
-	I-pers	O
Henri	I-pers	O
_	O	O
Lequin	O	O
de	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/615,1594,512,45/full/0/default.jpg
Fleurier	B-loc	O
et	O	O
de	O	O
Marie	B-pers	O
-	I-pers	O
Louise	I-pers	O
Meuron	I-pers	O
,	O	O
qui	O	O
sont	O	O
nommément	O	O
,	O	O
'	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/617,1617,507,44/full/0/default.jpg
Jouas	B-pers	O
Frédéric	I-pers	O
,	I-pers	O
Auguste	I-pers	O
,	O	O
Alexandre	B-pers	O
et	O	O
Louise	B-pers	O
-	I-pers	O
Rosalio	I-pers	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/617,1639,507,44/full/0/default.jpg
Lequin	O	O
,	O	O
fait	O	O
savoir	O	O
qu	O	O
'	O	O
il	O	O
se	O	O
présentera	O	O
en	O	O
dite	O	O
justice	O	O
le	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/617,1660,508,44/full/0/default.jpg
samedi	O	O
30	O	O
janvier	O	O
courant	O	O
,	O	O
pour	O	O
y	O	O
solliciter	O	O
eu	O	O
faveur	O	O
de	O	O
ses	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/617,1682,507,44/full/0/default.jpg
susdits	O	O
pupilles	O	O
,	O	O
une	O	O
renonciation	O	O
formelle	O	O
et	O	O
jiiridique	O	O
aux	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/616,1704,509,45/full/0/default.jpg
bien	O	O
3	O	O
et	O	O
dettes	O	O
présens	O	O
et	O	O
*	O	O
futurs	O	O
dudit	O	O
Frédéric	B-pers	O
Henri	I-pers	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/617,1726,508,44/full/0/default.jpg
Lequin	O	O
leur	O	O
père	O	O
.	O	O
En	O	O
conséquence	O	O
de	O	O
quoi	O	O
tous	O	O
ceux	O	O
qui	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/618,1747,507,45/full/0/default.jpg
pourraient	O	O
opposer	O	O
à	O	O
ladite	O	O
renonciation	O	O
,	O	O
sont	O	O
cités	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/618,1769,508,45/full/0/default.jpg
péremptoirement	O	O
à	O	O
se	O	O
présenter	O	O
en	O	O
justice	O	O
dudit	O	O
Val	B-loc	O
de	I-loc	O
-	I-loc	O
Travers	I-loc	O
1	O	O
©	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/619,1792,508,44/full/0/default.jpg
dit	O	O
30	O	O
janvier	O	O
cornant	O	O
,	O	O
_	O	O
poar	O	O
y	O	O
_	O	O
seuieuir	O	O
leurs	O	O
durits	O	O
,	O	O
(	O	O
«	O	O
14	O	O
s	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-01-04-a-p0002/617,1814,177,44/full/0/default.jpg
pain	O	O
»	O	O
«	O	O
la	O	O
forclusion	O	O
.	O	O

# language = fr
# newspaper = EXP
# date = 1798-02-15
# document_id = EXP-1798-02-15-a-i0004
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/213,1230,242,53/full/0/default.jpg
AVIS	O	O
DIVERS	O	O
.	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/74,1258,533,44/full/0/default.jpg
1	O	O
.	O	O
Les	O	O
circonstances	O	O
ttu	O	O
moment	O	O
ont	O	O
engage	O	O
le	O	O
Magistrat	O	O
rie	O	O
.	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/95,1279,509,44/full/0/default.jpg
Neuchatel	B-loc	O
à	O	O
renvoyer	O	O
le	O	O
tirage	O	O
de	O	O
ia	O	O
première	O	O
classe	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/78,1300,525,45/full/0/default.jpg
dix	O	O
'	O	O
neuvième	O	O
Loterie	O	O
à	O	O
une	O	O
époque	O	O
plus	O	O
favorable	O	O
,	O	O
ce	O	O
dont	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/95,1323,510,45/full/0/default.jpg
on	O	O
aura	O	O
soin	O	O
d	O	O
'	O	O
informer	O	O
le	O	O
public	O	O
par	O	O
des	O	O
bulletins	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/80,1344,527,44/full/0/default.jpg
impri	O	O
'	O	O
mes	O	O
qui	O	O
seront	O	O
délivrés	O	O
par	O	O
les	O	O
Collecteurs	O	O
à	O	O
tous	O	O
les	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/95,1367,56,45/full/0/default.jpg
intéressés	O	O
.	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/75,1390,529,44/full/0/default.jpg
g	O	O
.	O	O
'	O	O
Tous	O	O
les	O	O
créanciers	O	O
à	O	O
la	O	O
masse	O	O
des	O	O
biens	O	O
du	O	O
nommé	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/81,1409,522,45/full/0/default.jpg
Jean	O	O
'	O	O
""""	O	O
Fréderic	B-pers	O
/	I-pers	O
Stnuffer	I-pers	O
,	O	O
meunier	O	O
aux	O	O
moulins	O	O
de	O	O
la	O	O
Prise	B-loc	O
,	O	O
sont	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/94,1434,509,44/full/0/default.jpg
avisés	O	O
.	O	O
que	O	O
M	B-pers	O
.	I-pers	O
le	I-pers	O
maire	I-pers	O
a	O	O
fixé	O	O
la	O	O
journée	O	O
pour	O	O
procéder	O	O
aux	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/95,1456,509,44/full/0/default.jpg
_	O	O
collocatlons	O	O
au	O	O
vendredi	O	O
16	O	O
février	O	O
courant	O	O
,	O	O
en	O	O
conséquence	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/96,1477,508,45/full/0/default.jpg
de	O	O
quoi	O	O
ils	O	O
sont	O	O
cités	O	O
à	O	O
se	O	O
présenter	O	O
ce	O	O
jour	O	O
là	O	O
à	O	O
neuf	O	O
heures	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/88,1499,323,44/full/0/default.jpg
""""	O	O
dû	O	O
matin	O	O
dans	O	O
l	O	O
'	O	O
hôtel	O	O
-	O	O
de	O	O
-	O	O
ville	O	O
,	O	O
,	O	O
.	O	O
,	O	O
.	O	O
,	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/74,1522,531,45/full/0/default.jpg
37	O	O
'	O	O
Les	O	O
'	O	O
sœurs	O	O
_	O	O
Gendre	O	O
ayant	O	O
entiepriE	O	O
,	O	O
l	O	O
'	O	O
établissement	O	O
en	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/96,1544,509,44/full/0/default.jpg
pâtisserie	O	O
que	O	O
tenoit	O	O
feu	O	O
Mlle	B-pers	O
.	I-pers	O
Eckard	I-pers	O
à	O	O
la	O	O
rue	B-loc	O
des	I-loc	O
Moulins	I-loc	O
,	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/95,1566,509,44/full/0/default.jpg
avisent	O	O
lé	O	O
public	O	O
qu	O	O
'	O	O
elles	O	O
le	O	O
tiendront	O	O
sur	O	O
le	O	O
même	O	O
pied	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/95,1588,509,45/full/0/default.jpg
que	O	O
ladite	O	O
demoiselle	O	O
Eckard	O	O
.	O	O
Elles	O	O
osent	O	O
se	O	O
flatter	O	O
que	O	O
les	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/94,1612,513,44/full/0/default.jpg
p	O	O
ersonnes	O	O
qui	O	O
voudront	O	O
bien	O	O
les	O	O
honorer	O	O
de	O	O
leur	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/95,1631,405,45/full/0/default.jpg
confianceauront	O	O
lieu	O	O
d	O	O
'	O	O
être	O	O
satisfaites	O	O
à	O	O
tous	O	O
égards	O	O
.	O	O
.	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/73,1657,530,44/full/0/default.jpg
4	O	O
.	O	O
,	O	O
Un	O	O
bourgeois	O	O
de	O	O
cette	O	O
ville	O	O
,	O	O
connu	O	O
avantageusement	O	O
par	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/94,1675,509,45/full/0/default.jpg
ses	O	O
bonnesi	O	O
mœurs	O	O
et	O	O
conduite	O	O
,	O	O
desireroit	O	O
nouver	O	O
une	O	O
petite	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/94,1697,512,45/full/0/default.jpg
auberge	O	O
a	O	O
louer	O	O
,	O	O
ou	O	O
un	O	O
emplacement	O	O
propre	O	O
à	O	O
un	O	O
vendage	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/94,1719,509,44/full/0/default.jpg
de	O	O
vin	O	O
;	O	O
ou	O	O
encore	O	O
'	O	O
un	O	O
jardin	O	O
avec	O	O
logement	O	O
,	O	O
où	O	O
!	O	O
l	O	O
'	O	O
on	O	O
pût	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/94,1741,411,45/full/0/default.jpg
tenir	O	O
un	O	O
quilier	O	O
.	O	O
S	O	O
'	O	O
adresser	O	O
au	O	O
bureau	O	O
d	O	O
'	O	O
avis	O	O
.	O	O
'	O	O
;	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/74,1764,530,44/full/0/default.jpg
5	O	O
.	O	O
Mercredi	O	O
7	O	O
du	O	O
courant	O	O
,	O	O
on	O	O
a	O	O
trouvé	O	O
un	O	O
paquet	O	O
de	O	O
toile	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/95,1785,509,45/full/0/default.jpg
sur	O	O
lé	O	O
Crêt	O	O
.	O	O
La	O	O
_	O	O
personne	O	O
qui	O	O
l	O	O
'	O	O
a	O	O
perdu	O	O
apprendra	O	O
au	O	O
bureau	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/96,1806,334,45/full/0/default.jpg
d	O	O
'	O	O
avis	O	O
le	O	O
nom	O	O
de	O	O
celle	O	O
-	O	O
qui	O	O
l	O	O
'	O	O
a	O	O
trouvé	O	O
.	O	O
,	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/73,1830,531,44/full/0/default.jpg
6	O	O
.	O	O
Oh	O	O
demande	O	O
une	O	O
fille	O	O
qui	O	O
sache	O	O
fane	O	O
un	O	O
bon	O	O
ordinaire	O	O
et	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/94,1851,511,46/full/0/default.jpg
soigner	O	O
des	O	O
enfans	O	O
,	O	O
qui	O	O
aye	O	O
bonne	O	O
conduite	O	O
.	O	O
Elle	O	O
pourrait	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/90,1871,483,44/full/0/default.jpg
'	O	O
entrer	O	O
en	O	O
place	O	O
dés	O	O
à	O	O
présent	O	O
.	O	O
S	O	O
'	O	O
adr	O	O
.	O	O
au	O	O
bureau	O	O
d	O	O
'	O	O
avis	O	O
.	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/73,1899,532,44/full/0/default.jpg
7	O	O
.	O	O
'	O	O
Far	O	O
due	O	O
permission	O	O
,	O	O
vendredi	O	O
17	O	O
du	O	O
courant	O	O
,	O	O
à	O	O
9	O	O
heures	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/648,18,514,44/full/0/default.jpg
du	O	O
matin	O	O
,	O	O
on	O	O
exposera	O	O
en	O	O
montes	O	O
dans	O	O
l	O	O
'	O	O
antï	O	O
-	O	O
chambre	O	O
de	O	O
lé	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/648,39,513,45/full/0/default.jpg
salle	O	O
du	O	O
Concert	O	O
,	O	O
divers	O	O
meubles	O	O
,	O	O
la	O	O
plupart	O	O
en	O	O
bon	O	O
état	O	O
,	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/653,61,505,44/full/0/default.jpg
tels	O	O
que	O	O
'	O	O
buffets	O	O
,	O	O
lits	O	O
,	O	O
matelas	O	O
,	O	O
batterie	O	O
de	O	O
cuisine	O	O
,	O	O
vieux	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/652,83,92,45/full/0/default.jpg
étain	O	O
,	O	O
etc	O	O
.	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/627,105,531,45/full/0/default.jpg
8	O	O
.	O	O
Le	O	O
lendemain	O	O
de	O	O
la	O	O
prestation	O	O
des	O	O
sermens	O	O
à	O	O
Neuchatel	B-loc	O
i	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/647,127,510,44/full/0/default.jpg
on	O	O
a	O	O
trouvé	O	O
un	O	O
chien	O	O
d	O	O
'	O	O
arrêt	O	O
.	O	O
La	O	O
personne	O	O
à	O	O
qui	O	O
il	O	O
appartient	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/646,150,512,45/full/0/default.jpg
peut	O	O
le	O	O
réclamer	O	O
chez	O	O
Jean	B-pers	O
-	I-pers	O
Frédéric	I-pers	O
Borel	I-pers	O
,	O	O
maître	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/647,172,494,44/full/0/default.jpg
charpentier	O	O
à	O	O
Couve	O	O
t	O	O
.	O	O
'	O	O
-	O	O
,	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/626,194,531,44/full/0/default.jpg
g	O	O
.	O	O
Dans	O	O
une	O	O
maison	O	O
de	O	O
cette	O	O
ville	O	O
on	O	O
demande	O	O
une	O	O
jeune	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/639,217,518,44/full/0/default.jpg
.	O	O
fille	O	O
de	O	O
bonne	O	O
conduite	O	O
et	O	O
de	O	O
bonnes	O	O
mœurs	O	O
,	O	O
pour	O	O
soigner	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/647,237,311,44/full/0/default.jpg
un	O	O
enfant	O	O
.	O	O
S	O	O
'	O	O
adr	O	O
.	O	O
au	O	O
""""	O	O
bureau	O	O
d	O	O
'	O	O
avis	O	O
.	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/627,259,527,44/full/0/default.jpg
10	O	O
.	O	O
M	B-pers	O
.	I-pers	O
Rougemont	I-pers	O
,	I-pers	O
commissaire	I-pers	O
général	I-pers	O
,	O	O
demande	O	O
à	O	O
acheter	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/647,282,473,44/full/0/default.jpg
des	O	O
bosses	O	O
à	O	O
char	O	O
et	O	O
des	O	O
bollers	O	O
de	O	O
diverses	O	O
grandeurs	O	O
.	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/625,303,529,45/full/0/default.jpg
11	O	O
.	O	O
M	B-pers	O
.	I-pers	O
Fa	I-pers	O
vre	O	O
,	O	O
négociant	O	O
sur	O	O
la	O	O
place	O	O
,	O	O
a	O	O
reçu	O	O
e	O	O
j	O	O
.	O	O
commission	O	O
de	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/646,325,509,45/full/0/default.jpg
la	O	O
graine	O	O
de	O	O
.	O	O
tre	O	O
lie	O	O
nouvelle	O	O
,	O	O
qu	O	O
'	O	O
il	O	O
offre	O	O
en	O	O
gros	O	O
et	O	O
en	O	O
détail	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/630,345,191,45/full/0/default.jpg
-	O	O
à	O	O
un	O	O
prix	O	O
modique	O	O
.	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/624,370,532,45/full/0/default.jpg
£	O	O
2	O	O
.	O	O
Le	O	O
sieur	O	O
Quartier	O	O
_	O	O
^	O	O
instituteur	O	O
,	O	O
s	O	O
'	O	O
étant	O	O
décidé	O	O
d	O	O
'	O	O
aller	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/646,392,513,44/full/0/default.jpg
passer	O	O
tout	O	O
au	O	O
moins	O	O
l	O	O
'	O	O
été	O	O
prochain	O	O
à	O	O
la	O	O
campagne	O	O
,	O	O
invite	O	O
les	O	O
)	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/645,415,510,44/full/0/default.jpg
personnes	O	O
qui	O	O
voudraient	O	O
se	O	O
pourvoir	O	O
chez	O	O
lui	O	O
d	O	O
'	O	O
encre	O	O
et	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/638,438,517,45/full/0/default.jpg
.	O	O
de	O	O
plumes	O	O
taillées	O	O
,	O	O
de	O	O
s	O	O
'	O	O
annoncer	O	O
au	O	O
plutôt	O	O
.	O	O
Il	O	O
lui	O	O
reste	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/647,458,507,44/full/0/default.jpg
quelques	O	O
papiers	O	O
,	O	O
tant	O	O
de	O	O
poste	O	O
qu	O	O
'	O	O
autres	O	O
de	O	O
différens	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/647,479,510,44/full/0/default.jpg
formats	O	O
,	O	O
dont	O	O
il	O	O
veut	O	O
se	O	O
dèiaire	O	O
,	O	O
et	O	O
qu	O	O
'	O	O
il	O	O
cédera	O	O
pendant	O	O
la	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/647,501,294,44/full/0/default.jpg
foire	O	O
au	O	O
dessous	O	O
du	O	O
prix	O	O
coûtant	O	O
.	O	O
# segment_iiif_link = https://iiif.dhlab.epfl.ch/iiif_impresso/EXP-1798-02-15-a-p0002/627,523,531,45/full/0/default.jpg
Ï	O	O
3	O	O
.	O	O
On	O	O
demande	O	O
pour	O	O
le	O	O
commencement	O	O
de	O	O
mars	O	O
,	O	O
une	O	O
